Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
         131000	       121	80000172	99b6	c.add	x19,x13	 x19:0x49488fed x13:0x4e266eb5 x19=0x976efea2
         132000	       122	80000174	987d	c.andi	x8,-1	  x8:0x80000000  x8=0x80000000
         133000	       123	80000176	0e466063	bltu	x12,x4,80000256	 x12:0xf2fd1ee7  x4:0x00000001
         134000	       124	8000017a	8c55	c.or	x8,x13	  x8:0x80000000 x13:0x4e266eb5  x8=0xce266eb5
         135000	       125	8000017c	00004417	auipc	x8,0x4	  x8=0x8000417c
         136000	       126	80000180	d8f40413	addi	x8,x8,-625	  x8:0x8000417c  x8=0x80003f0b
         138000	       128	80000184	f8141b03	lh	x22,-127(x8)	  x8:0x80003f0b x22=0xffffd015 PA:0x80003e8c load:0xffffd015
         140000	       130	80000188	09440223	sb	x20,132(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003f8f store:0x80000000 load:0x00000000
         141000	       131	8000018c	44f9	c.li	x9,30	  x9=0x0000001e
         143000	       133	8000018e	f3344f83	lbu	x31,-205(x8)	  x8:0x80003f0b x31=0x0000008f PA:0x80003e3e load:0x0000008f
         144000	       134	80000192	8ccd	c.or	x9,x11	  x9:0x0000001e x11:0x00000007  x9=0x0000001f
         145000	       135	80000194	6155	c.addi16sp	x2,304	  x2:0x00000001  x2=0x00000131
         147000	       137	80000196	f3040683	lb	x13,-208(x8)	  x8:0x80003f0b x13=0xffffffa8 PA:0x80003e3b load:0xffffffa8
         149000	       139	8000019a	07942a83	lw	x21,121(x8)	  x8:0x80003f0b x21=0x4f453da7 PA:0x80003f84 load:0x4f453da7
         152000	       142	8000019e	0a242a23	sw	x2,180(x8)	  x8:0x80003f0b  x2:0x00000131 PA:0x80003fbf store:0x00000131 load:0x00000000
         154000	       144	800001a2	07941b03	lh	x22,121(x8)	  x8:0x80003f0b x22=0x00003da7 PA:0x80003f84 load:0x00003da7
         156000	       146	800001a6	f2941ca3	sh	x9,-199(x8)	  x8:0x80003f0b  x9:0x0000001f PA:0x80003e44 store:0x0000001f load:0x00000000
         158000	       148	800001aa	042422a3	sw	x2,69(x8)	  x8:0x80003f0b  x2:0x00000131 PA:0x80003f50 store:0x00000131 load:0x00000000
         161000	       151	800001ae	022425a3	sw	x2,43(x8)	  x8:0x80003f0b  x2:0x00000131 PA:0x80003f36 store:0x00000131 load:0x00000000
         162000	       152	800001b2	95d2	c.add	x11,x20	 x11:0x00000007 x20:0x80000000 x11=0x80000007
         165000	       155	800001b4	fcc42a83	lw	x21,-52(x8)	  x8:0x80003f0b x21=0x84a5f604 PA:0x80003ed7 load:0x84a5f604
         166000	       156	800001b8	616d	c.addi16sp	x2,240	  x2:0x00000131  x2=0x00000221
         170000	       160	800001ba	024314b3	mulh	x9,x6,x4	  x6:0x00000000  x4:0x00000001  x9=0x00000000
         171000	       161	800001be	010829b3	slt	x19,x16,x16	 x16:0x00000000 x16:0x00000000 x19=0x00000000
         172000	       162	800001c2	41a65813	srai	x16,x12,0x1a	 x12:0xf2fd1ee7 x16=0xfffffffc
         173000	       163	800001c6	019b5db3	srl	x27,x22,x25	 x22:0x00003da7 x25:0x00000004 x27=0x000003da
         174000	       164	800001ca	01339113	slli	x2,x7,0x13	  x7:0x03242825  x2=0x41280000
         177000	       167	800001ce	0e941023	sh	x9,224(x8)	  x8:0x80003f0b  x9:0x00000000 PA:0x80003feb store:0x00000000 load:0x00000004
         179000	       169	800001d2	fa244f83	lbu	x31,-94(x8)	  x8:0x80003f0b x31=0x0000000b PA:0x80003ead load:0x0000000b
         180000	       170	800001d6	6c39	c.lui	x24,0xe	 x24=0x0000e000
         183000	       173	800001d8	fe242e23	sw	x2,-4(x8)	  x8:0x80003f0b  x2:0x41280000 PA:0x80003f07 store:0x41280000 load:0x00000004
         185000	       175	800001dc	f9b41b03	lh	x22,-101(x8)	  x8:0x80003f0b x22=0x0000524e PA:0x80003ea6 load:0x0000524e
         186000	       176	800001e0	409d55b3	sra	x11,x26,x9	 x26:0x00000000  x9:0x00000000 x11=0x00000000
         187000	       177	800001e4	8691	c.srai	x13,0x4	 x13:0xffffffa8 x13=0xfffffffa
         190000	       180	800001e6	f4242f23	sw	x2,-162(x8)	  x8:0x80003f0b  x2:0x41280000 PA:0x80003e69 store:0x41280000 load:0x00040000
         192000	       182	800001ea	07440aa3	sb	x20,117(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003f80 store:0x80000000 load:0x00000000
         193000	       183	800001ee	0176d113	srli	x2,x13,0x17	 x13:0xfffffffa  x2=0x000001ff
         195000	       185	800001f2	0d544f83	lbu	x31,213(x8)	  x8:0x80003f0b x31=0x00000073 PA:0x80003fe0 load:0x00000073
         196000	       186	800001f6	8ed1	c.or	x13,x12	 x13:0xfffffffa x12:0xf2fd1ee7 x13=0xffffffff
         197000	       187	800001f8	e01ae717	auipc	x14,0xe01ae	 x14=0x601ae1f8
         199000	       189	800001fc	0e944f83	lbu	x31,233(x8)	  x8:0x80003f0b x31=0x000000d0 PA:0x80003ff4 load:0x000000d0
         203000	       193	80000200	0286af33	mulhsu	x30,x13,x8	 x13:0xffffffff  x8:0x80003f0b x30=0xffffffff
         204000	       194	80000204	01b7b593	sltiu	x11,x15,27	 x15:0x00000001 x11=0x00000001
         206000	       196	80000208	f3245003	lhu	x0,-206(x8)	  x8:0x80003f0b  x0=0x00000000 PA:0x80003e3d load:0x00008f35
         208000	       198	8000020c	01142a83	lw	x21,17(x8)	  x8:0x80003f0b x21=0x434a6c7d PA:0x80003f1c load:0x434a6c7d
         209000	       199	80000210	80c6	c.mv	x1,x17	  x0:0x00000000 x17:0xf2fd1ee7  x1=0xf2fd1ee7
         210000	       200	80000212	48f18013	addi	x0,x3,1167	  x3:0x400a9c73  x0=0x00000000
         212000	       202	80000216	f4e40683	lb	x13,-178(x8)	  x8:0x80003f0b x13=0xfffffff3 PA:0x80003e59 load:0xfffffff3
         215000	       205	8000021a	fbc45003	lhu	x0,-68(x8)	  x8:0x80003f0b  x0=0x00000000 PA:0x80003ec7 load:0x0000a27a
         216000	       206	8000021e	3e8b3193	sltiu	x3,x22,1000	 x22:0x0000524e  x3=0x00000000
         217000	       207	80000222	6149	c.addi16sp	x2,144	  x2:0x000001ff  x2=0x0000028f
         219000	       209	80000224	ff440f23	sb	x20,-2(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003f09 store:0x80000000 load:0x00000000
         221000	       211	80000228	fe141b03	lh	x22,-31(x8)	  x8:0x80003f0b x22=0xffff8d13 PA:0x80003eec load:0xffff8d13
         223000	       213	8000022c	0e242ca3	sw	x2,249(x8)	  x8:0x80003f0b  x2:0x0000028f PA:0x80004004 store:0x0000028f load:0x00000000
         225000	       215	80000230	05440023	sb	x20,64(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003f4b store:0x80000000 load:0x00000000
         228000	       218	80000234	fdc45003	lhu	x0,-36(x8)	  x8:0x80003f0b  x0=0x00000000 PA:0x80003ee7 load:0x0000b06d
         230000	       220	80000238	fd440ea3	sb	x20,-35(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003ee8 store:0x80000000 load:0x00000000
         232000	       222	8000023c	04942a83	lw	x21,73(x8)	  x8:0x80003f0b x21=0xe1b99538 PA:0x80003f54 load:0xe1b99538
         233000	       223	80000240	41735cb3	sra	x25,x6,x23	  x6:0x00000000 x23:0x00000000 x25=0x00000000
         234000	       224	80000244	88703c13	sltiu	x24,x0,-1913	  x0:0x00000000 x24=0x00000001
         235000	       225	80000248	01ac6b33	or	x22,x24,x26	 x24:0x00000001 x26:0x00000000 x22=0x00000001
         236000	       226	8000024c	00d80fb3	add	x31,x16,x13	 x16:0xfffffffc x13:0xfffffff3 x31=0xffffffef
         237000	       227	80000250	86fd	c.srai	x13,0x1f	 x13:0xfffffff3 x13=0xffffffff
         238000	       228	80000252	b9b3c613	xori	x12,x7,-1125	  x7:0x03242825 x12=0xfcdbd3be
         239000	       229	80000256	95aa	c.add	x11,x10	 x11:0x00000001 x10:0x8000fc84 x11=0x8000fc85
         240000	       230	80000258	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         277000	       267	8000025a	02cc5433	divu	x8,x24,x12	 x24:0x00000001 x12:0xfcdbd3be  x8=0x00000000
         278000	       268	8000025e	8df1	c.and	x11,x12	 x11:0x8000fc85 x12:0xfcdbd3be x11=0x8000d084
         279000	       269	80000260	54d57d93	andi	x27,x10,1357	 x10:0x8000fc84 x27=0x00000404
         280000	       270	80000264	6135	c.addi16sp	x2,352	  x2:0x0000028f  x2=0x000003ef
         284000	       274	80000266	021d1fb3	mulh	x31,x26,x1	 x26:0x00000000  x1:0xf2fd1ee7 x31=0x00000000
         285000	       275	8000026a	009b0863	beq	x22,x9,8000027a	 x22:0x00000001  x9:0x00000000
         286000	       276	8000026e	8d81ec37	lui	x24,0x8d81e	 x24=0x8d81e000
         287000	       277	80000272	0dfa	c.slli	x27,0x1e	 x27:0x00000404 x27=0x00000000
         288000	       278	80000274	86b9	c.srai	x13,0xe	 x13:0xffffffff x13=0xffffffff
         289000	       279	80000276	016e7233	and	x4,x28,x22	 x28:0xf142b8eb x22:0x00000001  x4=0x00000001
         291000	       281	8000027a	00457c63	bgeu	x10,x4,80000292	 x10:0x8000fc84  x4:0x00000001
         294000	       284	80000292	418b58b3	sra	x17,x22,x24	 x22:0x00000001 x24:0x8d81e000 x17=0x00000001
         295000	       285	80000296	4185	c.li	x3,1	  x3=0x00000001
         296000	       286	80000298	c199	c.beqz	x11,8000029e	 x11:0x8000d084
         297000	       287	8000029a	40ec8033	sub	x0,x25,x14	 x25:0x00000000 x14:0x601ae1f8  x0=0x00000000
         298000	       288	8000029e	8ba5	c.andi	x15,9	 x15:0x00000001 x15=0x00000001
         299000	       289	800002a0	01cb2333	slt	x6,x22,x28	 x22:0x00000001 x28:0xf142b8eb  x6=0x00000000
         300000	       290	800002a4	01a3d213	srli	x4,x7,0x1a	  x7:0x03242825  x4=0x00000000
         302000	       292	800002a8	007a9663	bne	x21,x7,800002b4	 x21:0xe1b99538  x7:0x03242825
         304000	       294	800002b4	014a	c.slli	x2,0x12	  x2:0x000003ef  x2=0x0fbc0000
         305000	       295	800002b6	8cef7037	lui	x0,0x8cef7	  x0=0x00000000
         306000	       296	800002ba	00211fb3	sll	x31,x2,x2	  x2:0x0fbc0000  x2:0x0fbc0000 x31=0x0fbc0000
         307000	       297	800002be	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         308000	       298	800002c0	0c26	c.slli	x24,0x9	 x24:0x8d81e000 x24=0x03c00000
         310000	       300	800002c2	0399d463	bge	x19,x25,800002ea	 x19:0x00000000 x25:0x00000000
         313000	       303	800002ea	017e9213	slli	x4,x29,0x17	 x29:0x00000000  x4=0x00000000
         314000	       304	800002ee	01f35d93	srli	x27,x6,0x1f	  x6:0x00000000 x27=0x00000000
         315000	       305	800002f2	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
         316000	       306	800002f4	8ac1	c.andi	x13,16	 x13:0xffffffff x13=0x00000010
         317000	       307	800002f6	643d	c.lui	x8,0xf	  x8=0x0000f000
         318000	       308	800002f8	8dc9	c.or	x11,x10	 x11:0x8000d084 x10:0x8000fc84 x11=0x8000fc84
         320000	       310	800002fa	00cfed63	bltu	x31,x12,80000314	 x31:0x0fbc0000 x12:0xfcdbd3be
         322000	       312	80000314	00c80233	add	x4,x16,x12	 x16:0xfffffffc x12:0xfcdbd3be  x4=0xfcdbd3ba
         323000	       313	80000318	00000e97	auipc	x29,0x0	 x29=0x80000318
         324000	       314	8000031c	00ce8e93	addi	x29,x29,12	 x29:0x80000318 x29=0x80000324
         326000	       316	80000320	000e8067	jalr	x0,0(x29)	 x29:0x80000324  x0=0x00000000
         327000	       317	80000324	4185	c.li	x3,1	  x3=0x00000001
         328000	       318	80000326	00000073	ecall	
         332000	       322	80000000	6fc0106f	jal	x0,800016fc	  x0=0x00000000
         333000	       323	800016fc	34091973	csrrw	x18,mscratch,x18	 x18:0x8000ae64 x18=0x00000000
         334000	       324	80001700	00050933	add	x18,x10,x0	 x10:0x8000fc84  x0:0x00000000 x18=0x8000fc84
         335000	       325	80001704	f8490913	addi	x18,x18,-124	 x18:0x8000fc84 x18=0x8000fc08
         337000	       327	80001708	00192223	sw	x1,4(x18)	 x18:0x8000fc08  x1:0xf2fd1ee7 PA:0x8000fc0c store:0xf2fd1ee7 load:0x00000000
         339000	       329	8000170c	00292423	sw	x2,8(x18)	 x18:0x8000fc08  x2:0x0fbc0000 PA:0x8000fc10 store:0x0fbc0000 load:0x00000000
         341000	       331	80001710	00392623	sw	x3,12(x18)	 x18:0x8000fc08  x3:0x00000001 PA:0x8000fc14 store:0x00000001 load:0x00000000
         343000	       333	80001714	00492823	sw	x4,16(x18)	 x18:0x8000fc08  x4:0xfcdbd3ba PA:0x8000fc18 store:0xfcdbd3ba load:0x00000000
         345000	       335	80001718	00592a23	sw	x5,20(x18)	 x18:0x8000fc08  x5:0x97713dfc PA:0x8000fc1c store:0x97713dfc load:0x00000000
         347000	       337	8000171c	00692c23	sw	x6,24(x18)	 x18:0x8000fc08  x6:0x00000000 PA:0x8000fc20 store:0x00000000 load:0x00000000
         349000	       339	80001720	00792e23	sw	x7,28(x18)	 x18:0x8000fc08  x7:0x03242825 PA:0x8000fc24 store:0x03242825 load:0x00000000
         351000	       341	80001724	02892023	sw	x8,32(x18)	 x18:0x8000fc08  x8:0x0000f000 PA:0x8000fc28 store:0x0000f000 load:0x00000000
         353000	       343	80001728	02992223	sw	x9,36(x18)	 x18:0x8000fc08  x9:0x00000000 PA:0x8000fc2c store:0x00000000 load:0x00000000
         355000	       345	8000172c	02a92423	sw	x10,40(x18)	 x18:0x8000fc08 x10:0x8000fc84 PA:0x8000fc30 store:0x8000fc84 load:0x00000000
         357000	       347	80001730	02b92623	sw	x11,44(x18)	 x18:0x8000fc08 x11:0x8000fc84 PA:0x8000fc34 store:0x8000fc84 load:0x00000000
         359000	       349	80001734	02c92823	sw	x12,48(x18)	 x18:0x8000fc08 x12:0xfcdbd3be PA:0x8000fc38 store:0xfcdbd3be load:0x00000000
         361000	       351	80001738	02d92a23	sw	x13,52(x18)	 x18:0x8000fc08 x13:0x00000010 PA:0x8000fc3c store:0x00000010 load:0x00000000
         363000	       353	8000173c	02e92c23	sw	x14,56(x18)	 x18:0x8000fc08 x14:0x601ae1f8 PA:0x8000fc40 store:0x601ae1f8 load:0x00000000
         365000	       355	80001740	02f92e23	sw	x15,60(x18)	 x18:0x8000fc08 x15:0x00000001 PA:0x8000fc44 store:0x00000001 load:0x00000000
         367000	       357	80001744	05092023	sw	x16,64(x18)	 x18:0x8000fc08 x16:0xfffffffc PA:0x8000fc48 store:0xfffffffc load:0x00000000
         369000	       359	80001748	05192223	sw	x17,68(x18)	 x18:0x8000fc08 x17:0x00000001 PA:0x8000fc4c store:0x00000001 load:0x00000000
         371000	       361	8000174c	05292423	sw	x18,72(x18)	 x18:0x8000fc08 x18:0x8000fc08 PA:0x8000fc50 store:0x8000fc08 load:0x00000000
         373000	       363	80001750	05392623	sw	x19,76(x18)	 x18:0x8000fc08 x19:0x00000000 PA:0x8000fc54 store:0x00000000 load:0x00000000
         375000	       365	80001754	05492823	sw	x20,80(x18)	 x18:0x8000fc08 x20:0x80000000 PA:0x8000fc58 store:0x80000000 load:0x00000000
         377000	       367	80001758	05592a23	sw	x21,84(x18)	 x18:0x8000fc08 x21:0xe1b99538 PA:0x8000fc5c store:0xe1b99538 load:0x00000000
         379000	       369	8000175c	05692c23	sw	x22,88(x18)	 x18:0x8000fc08 x22:0x00000001 PA:0x8000fc60 store:0x00000001 load:0x00000000
         381000	       371	80001760	05792e23	sw	x23,92(x18)	 x18:0x8000fc08 x23:0x00000000 PA:0x8000fc64 store:0x00000000 load:0x00000000
         383000	       373	80001764	07892023	sw	x24,96(x18)	 x18:0x8000fc08 x24:0x03c00000 PA:0x8000fc68 store:0x03c00000 load:0x00000000
         385000	       375	80001768	07992223	sw	x25,100(x18)	 x18:0x8000fc08 x25:0x00000000 PA:0x8000fc6c store:0x00000000 load:0x00000000
         387000	       377	8000176c	07a92423	sw	x26,104(x18)	 x18:0x8000fc08 x26:0x00000000 PA:0x8000fc70 store:0x00000000 load:0x00000000
         389000	       379	80001770	07b92623	sw	x27,108(x18)	 x18:0x8000fc08 x27:0x00000000 PA:0x8000fc74 store:0x00000000 load:0x00000000
         391000	       381	80001774	07c92823	sw	x28,112(x18)	 x18:0x8000fc08 x28:0xf142b8eb PA:0x8000fc78 store:0xf142b8eb load:0x00000000
         393000	       383	80001778	07d92a23	sw	x29,116(x18)	 x18:0x8000fc08 x29:0x80000324 PA:0x8000fc7c store:0x80000324 load:0x00000000
         395000	       385	8000177c	07e92c23	sw	x30,120(x18)	 x18:0x8000fc08 x30:0xffffffff PA:0x8000fc80 store:0xffffffff load:0x00000000
         397000	       387	80001780	07f92e23	sw	x31,124(x18)	 x18:0x8000fc08 x31:0x0fbc0000 PA:0x8000fc84 store:0x0fbc0000 load:0x00000000
         398000	       388	80001784	34102173	csrrs	x2,mepc,x0	  x0:0x00000000  x2=0x80000326
         399000	       389	80001788	34202173	csrrs	x2,mcause,x0	  x0:0x00000000  x2=0x0000000b
         400000	       390	8000178c	4fad	c.li	x31,11	 x31=0x0000000b
         402000	       392	8000178e	01f10d63	beq	x2,x31,800017a8	  x2:0x0000000b x31:0x0000000b
         404000	       394	800017a8	fffff117	auipc	x2,0xfffff	  x2=0x800007a8
         405000	       395	800017ac	8d810113	addi	x2,x2,-1832	  x2:0x800007a8  x2=0x80000080
         407000	       397	800017b0	c002	c.swsp	x0,0(x2)	  x2:0x80000080  x0:0x00000000 PA:0x80000080 store:0x00000000 load:0x00000000
         409000	       399	800017b2	c206	c.swsp	x1,4(x2)	  x2:0x80000080  x1:0xf2fd1ee7 PA:0x80000084 store:0xf2fd1ee7 load:0x00000000
         411000	       401	800017b4	c40a	c.swsp	x2,8(x2)	  x2:0x80000080  x2:0x80000080 PA:0x80000088 store:0x80000080 load:0x00000000
         413000	       403	800017b6	c60e	c.swsp	x3,12(x2)	  x2:0x80000080  x3:0x00000001 PA:0x8000008c store:0x00000001 load:0x00000000
         415000	       405	800017b8	c812	c.swsp	x4,16(x2)	  x2:0x80000080  x4:0xfcdbd3ba PA:0x80000090 store:0xfcdbd3ba load:0x00000000
         417000	       407	800017ba	ca16	c.swsp	x5,20(x2)	  x2:0x80000080  x5:0x97713dfc PA:0x80000094 store:0x97713dfc load:0x00000000
         419000	       409	800017bc	cc1a	c.swsp	x6,24(x2)	  x2:0x80000080  x6:0x00000000 PA:0x80000098 store:0x00000000 load:0x00000000
         421000	       411	800017be	ce1e	c.swsp	x7,28(x2)	  x2:0x80000080  x7:0x03242825 PA:0x8000009c store:0x03242825 load:0x00000000
         423000	       413	800017c0	d022	c.swsp	x8,32(x2)	  x2:0x80000080  x8:0x0000f000 PA:0x800000a0 store:0x0000f000 load:0x00000000
         425000	       415	800017c2	d226	c.swsp	x9,36(x2)	  x2:0x80000080  x9:0x00000000 PA:0x800000a4 store:0x00000000 load:0x00000000
         427000	       417	800017c4	d42a	c.swsp	x10,40(x2)	  x2:0x80000080 x10:0x8000fc84 PA:0x800000a8 store:0x8000fc84 load:0x00000000
         429000	       419	800017c6	d62e	c.swsp	x11,44(x2)	  x2:0x80000080 x11:0x8000fc84 PA:0x800000ac store:0x8000fc84 load:0x00000000
         431000	       421	800017c8	d832	c.swsp	x12,48(x2)	  x2:0x80000080 x12:0xfcdbd3be PA:0x800000b0 store:0xfcdbd3be load:0x00000000
         433000	       423	800017ca	da36	c.swsp	x13,52(x2)	  x2:0x80000080 x13:0x00000010 PA:0x800000b4 store:0x00000010 load:0x00000000
         435000	       425	800017cc	dc3a	c.swsp	x14,56(x2)	  x2:0x80000080 x14:0x601ae1f8 PA:0x800000b8 store:0x601ae1f8 load:0x00000000
         437000	       427	800017ce	de3e	c.swsp	x15,60(x2)	  x2:0x80000080 x15:0x00000001 PA:0x800000bc store:0x00000001 load:0x00000000
         439000	       429	800017d0	c0c2	c.swsp	x16,64(x2)	  x2:0x80000080 x16:0xfffffffc PA:0x800000c0 store:0xfffffffc load:0x00000000
         441000	       431	800017d2	c2c6	c.swsp	x17,68(x2)	  x2:0x80000080 x17:0x00000001 PA:0x800000c4 store:0x00000001 load:0x00000000
         443000	       433	800017d4	c4ca	c.swsp	x18,72(x2)	  x2:0x80000080 x18:0x8000fc08 PA:0x800000c8 store:0x8000fc08 load:0x00000000
         445000	       435	800017d6	c6ce	c.swsp	x19,76(x2)	  x2:0x80000080 x19:0x00000000 PA:0x800000cc store:0x00000000 load:0x00000000
         447000	       437	800017d8	c8d2	c.swsp	x20,80(x2)	  x2:0x80000080 x20:0x80000000 PA:0x800000d0 store:0x80000000 load:0x00000000
         449000	       439	800017da	cad6	c.swsp	x21,84(x2)	  x2:0x80000080 x21:0xe1b99538 PA:0x800000d4 store:0xe1b99538 load:0x00000000
         451000	       441	800017dc	ccda	c.swsp	x22,88(x2)	  x2:0x80000080 x22:0x00000001 PA:0x800000d8 store:0x00000001 load:0x00000000
         453000	       443	800017de	cede	c.swsp	x23,92(x2)	  x2:0x80000080 x23:0x00000000 PA:0x800000dc store:0x00000000 load:0x00000000
         455000	       445	800017e0	d0e2	c.swsp	x24,96(x2)	  x2:0x80000080 x24:0x03c00000 PA:0x800000e0 store:0x03c00000 load:0x00000000
