Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
          75000	        71	80000148	03843033	mulhu	x0,x8,x24	  x8:0x80000000 x24:0xfd1f53ea  x0=0x00000000
          76000	        72	8000014c	01342033	slt	x0,x8,x19	  x8:0x80000000 x19:0x49488fed  x0=0x00000000
          77000	        73	80000150	00ac4033	xor	x0,x24,x10	 x24:0xfd1f53ea x10:0x8000fc84  x0=0x00000000
          78000	        74	80000154	413db113	sltiu	x2,x27,1043	 x27:0x0000000a  x2=0x00000001
          79000	        75	80000158	009fd013	srli	x0,x31,0x9	 x31:0xd2e78693  x0=0x00000000
          83000	        79	8000015c	03c22e33	mulhsu	x28,x4,x28	  x4:0xe28571d7 x28:0x80000000 x28=0xf142b8eb
          84000	        80	80000160	41a608b3	sub	x17,x12,x26	 x12:0xf2fd1ee7 x26:0x00000000 x17=0xf2fd1ee7
          85000	        81	80000164	001510b3	sll	x1,x10,x1	 x10:0x8000fc84  x1:0xf54a2b8d  x1=0x1f908000
          86000	        82	80000168	cee5	c.beqz	x13,80000260	 x13:0x4e266eb5
         123000	       119	8000016a	03395233	divu	x4,x18,x19	 x18:0x8000ae64 x19:0x49488fed  x4=0x00000001
         124000	       120	8000016e	4131d033	sra	x0,x3,x19	  x3:0x400a9c73 x19:0x49488fed  x0=0x00000000
         125000	       121	80000172	99b6	c.add	x19,x13	 x19:0x49488fed x13:0x4e266eb5 x19=0x976efea2
         126000	       122	80000174	987d	c.andi	x8,-1	  x8:0x80000000  x8=0x80000000
         127000	       123	80000176	0e466063	bltu	x12,x4,80000256	 x12:0xf2fd1ee7  x4:0x00000001
         128000	       124	8000017a	8c55	c.or	x8,x13	  x8:0x80000000 x13:0x4e266eb5  x8=0xce266eb5
         129000	       125	8000017c	00004417	auipc	x8,0x4	  x8=0x8000417c
         130000	       126	80000180	d8f40413	addi	x8,x8,-625	  x8:0x8000417c  x8=0x80003f0b
         132000	       128	80000184	f8141b03	lh	x22,-127(x8)	  x8:0x80003f0b x22=0xffffd015 PA:0x80003e8c load:0xffffd015
         134000	       130	80000188	09440223	sb	x20,132(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003f8f store:0x80000000 load:0x00000000
         135000	       131	8000018c	44f9	c.li	x9,30	  x9=0x0000001e
         137000	       133	8000018e	f3344f83	lbu	x31,-205(x8)	  x8:0x80003f0b x31=0x0000008f PA:0x80003e3e load:0x0000008f
         138000	       134	80000192	8ccd	c.or	x9,x11	  x9:0x0000001e x11:0x00000007  x9=0x0000001f
         139000	       135	80000194	6155	c.addi16sp	x2,304	  x2:0x00000001  x2=0x00000131
         141000	       137	80000196	f3040683	lb	x13,-208(x8)	  x8:0x80003f0b x13=0xffffffa8 PA:0x80003e3b load:0xffffffa8
         143000	       139	8000019a	07942a83	lw	x21,121(x8)	  x8:0x80003f0b x21=0x4f453da7 PA:0x80003f84 load:0x4f453da7
         147000	       143	8000019e	0a242a23	sw	x2,180(x8)	  x8:0x80003f0b  x2:0x00000131 PA:0x80003fbf store:0x00000131 load:0x00000000
         149000	       145	800001a2	07941b03	lh	x22,121(x8)	  x8:0x80003f0b x22=0x00003da7 PA:0x80003f84 load:0x00003da7
         151000	       147	800001a6	f2941ca3	sh	x9,-199(x8)	  x8:0x80003f0b  x9:0x0000001f PA:0x80003e44 store:0x0000001f load:0x00000000
         153000	       149	800001aa	042422a3	sw	x2,69(x8)	  x8:0x80003f0b  x2:0x00000131 PA:0x80003f50 store:0x00000131 load:0x00000000
         157000	       153	800001ae	022425a3	sw	x2,43(x8)	  x8:0x80003f0b  x2:0x00000131 PA:0x80003f36 store:0x00000131 load:0x00000000
         158000	       154	800001b2	95d2	c.add	x11,x20	 x11:0x00000007 x20:0x80000000 x11=0x80000007
         162000	       158	800001b4	fcc42a83	lw	x21,-52(x8)	  x8:0x80003f0b x21=0x84a5f604 PA:0x80003ed7 load:0x84a5f604
         163000	       159	800001b8	616d	c.addi16sp	x2,240	  x2:0x00000131  x2=0x00000221
         167000	       163	800001ba	024314b3	mulh	x9,x6,x4	  x6:0x00000000  x4:0x00000001  x9=0x00000000
         168000	       164	800001be	010829b3	slt	x19,x16,x16	 x16:0x00000000 x16:0x00000000 x19=0x00000000
         169000	       165	800001c2	41a65813	srai	x16,x12,0x1a	 x12:0xf2fd1ee7 x16=0xfffffffc
         170000	       166	800001c6	019b5db3	srl	x27,x22,x25	 x22:0x00003da7 x25:0x00000004 x27=0x000003da
         171000	       167	800001ca	01339113	slli	x2,x7,0x13	  x7:0x03242825  x2=0x41280000
         175000	       171	800001ce	0e941023	sh	x9,224(x8)	  x8:0x80003f0b  x9:0x00000000 PA:0x80003feb store:0x00000000 load:0x00000004
         177000	       173	800001d2	fa244f83	lbu	x31,-94(x8)	  x8:0x80003f0b x31=0x0000000b PA:0x80003ead load:0x0000000b
         178000	       174	800001d6	6c39	c.lui	x24,0xe	 x24=0x0000e000
         182000	       178	800001d8	fe242e23	sw	x2,-4(x8)	  x8:0x80003f0b  x2:0x41280000 PA:0x80003f07 store:0x41280000 load:0x00000004
         184000	       180	800001dc	f9b41b03	lh	x22,-101(x8)	  x8:0x80003f0b x22=0x0000524e PA:0x80003ea6 load:0x0000524e
         185000	       181	800001e0	409d55b3	sra	x11,x26,x9	 x26:0x00000000  x9:0x00000000 x11=0x00000000
         186000	       182	800001e4	8691	c.srai	x13,0x4	 x13:0xffffffa8 x13=0xfffffffa
         190000	       186	800001e6	f4242f23	sw	x2,-162(x8)	  x8:0x80003f0b  x2:0x41280000 PA:0x80003e69 store:0x41280000 load:0x00040000
         192000	       188	800001ea	07440aa3	sb	x20,117(x8)	  x8:0x80003f0b x20:0x80000000 PA:0x80003f80 store:0x80000000 load:0x00000000
         193000	       189	800001ee	0176d113	srli	x2,x13,0x17	 x13:0xfffffffa  x2=0x000001ff
         195000	       191	800001f2	0d544f83	lbu	x31,213(x8)	  x8:0x80003f0b x31=0x00000073 PA:0x80003fe0 load:0x00000073
         196000	       192	800001f6	8ed1	c.or	x13,x12	 x13:0xfffffffa x12:0xf2fd1ee7 x13=0xffffffff
         197000	       193	800001f8	e01ae717	auipc	x14,0xe01ae	 x14=0x601ae1f8
         199000	       195	800001fc	0e944f83	lbu	x31,233(x8)	  x8:0x80003f0b x31=0x000000d0 PA:0x80003ff4 load:0x000000d0
         203000	       199	80000200	0286af33	mulhsu	x30,x13,x8	 x13:0xffffffff  x8:0x80003f0b x30=0xffffffff
         204000	       200	80000204	01b7b593	sltiu	x11,x15,27	 x15:0x00000001 x11=0x00000001
         206000	       202	80000208	f3245003	lhu	x0,-206(x8)	  x8:0x80003f0b  x0=0x00000000 PA:0x80003e3d load:0x00008f35
         208000	       204	8000020c	01142a83	lw	x21,17(x8)	  x8:0x80003f0b x21=0x434a6c7d PA:0x80003f1c load:0x434a6c7d
         209000	       205	80000210	80c6	c.mv	x1,x17	  x0:0x00000000 x17:0xf2fd1ee7  x1=0xf2fd1ee7
